,age,income,became_member_on,gender_M,gender_O,gender_U
84113,28,62000.0,20170107,0,0,0
66529,118,67800.0,20180418,0,0,1
4824,55,87000.0,20150730,0,0,0
137174,49,81000.0,20180721,1,0,0
2484,65,84000.0,20160802,0,0,0
58403,77,88000.0,20150919,1,0,0
107268,55,55000.0,20160511,1,0,0
116653,54,37000.0,20171231,1,0,0
116370,118,67800.0,20171125,0,0,1
132007,74,39000.0,20160924,1,0,0
69431,63,64000.0,20160407,1,0,0
115684,65,68000.0,20160127,0,0,0
56426,56,73000.0,20180424,0,0,0
31107,118,67800.0,20180201,0,0,1
67621,73,79000.0,20170916,0,0,0
118672,42,51000.0,20160729,1,0,0
108547,60,88000.0,20161127,0,0,0
127166,44,55000.0,20151104,1,0,0
105392,54,52000.0,20160613,0,0,0
1202,54,54000.0,20160323,1,0,0
83787,59,83000.0,20161226,0,0,0
28279,44,53000.0,20171027,0,0,0
38541,85,38000.0,20170806,0,0,0
1134,51,110000.0,20160417,1,0,0
71511,118,67800.0,20180105,0,0,1
77862,50,42000.0,20171003,1,0,0
118418,77,39000.0,20180329,0,0,0
106221,23,48000.0,20180416,1,0,0
126873,72,40000.0,20140514,1,0,0
141687,89,38000.0,20171016,0,0,0
586,59,70000.0,20160211,0,0,0
100871,56,100000.0,20170905,1,0,0
142896,65,50000.0,20171015,1,0,0
140595,62,45000.0,20131124,1,0,0
109781,57,73000.0,20170514,0,0,0
74992,78,81000.0,20170805,0,0,0
116868,27,40000.0,20150802,1,0,0
30409,52,57000.0,20180117,0,0,0
28027,47,74000.0,20160105,0,0,0
59466,51,58000.0,20170801,0,0,0
29074,118,67800.0,20171003,0,0,1
113385,40,91000.0,20161121,1,0,0
60207,118,67800.0,20171112,0,0,1
125126,118,67800.0,20180531,0,0,1
65860,21,66000.0,20151115,0,0,0
77015,55,81000.0,20170816,0,0,0
71014,52,96000.0,20160928,0,0,0
145670,42,44000.0,20180607,1,0,0
122672,28,44000.0,20170714,1,0,0
69633,46,43000.0,20170621,0,0,0
99384,61,67000.0,20180406,1,0,0
284,30,66000.0,20160516,0,0,0
31304,64,61000.0,20160507,0,0,0
52514,81,40000.0,20171025,1,0,0
129034,20,33000.0,20150122,1,0,0
40665,22,49000.0,20161115,0,0,0
44258,51,35000.0,20140829,1,0,0
82758,98,91000.0,20160726,0,0,0
77948,61,59000.0,20160117,0,0,0
129182,30,34000.0,20160903,0,0,0
76189,53,60000.0,20141016,1,0,0
19088,63,74000.0,20180326,0,0,0
124658,58,72000.0,20160415,0,0,0
13485,75,54000.0,20170129,0,0,0
89967,83,72000.0,20170430,0,0,0
111026,42,78000.0,20171015,0,0,0
105611,36,44000.0,20170204,1,0,0
127265,118,67800.0,20170913,0,0,1
2938,118,67800.0,20170414,0,0,1
106762,62,54000.0,20160302,1,0,0
5284,48,72000.0,20180314,0,0,0
106423,24,64000.0,20160229,0,0,0
149665,19,67000.0,20170507,1,0,0
110176,55,99000.0,20161122,0,0,0
4625,49,93000.0,20180112,1,0,0
73275,50,57000.0,20170821,0,0,0
110891,94,73000.0,20170508,0,0,0
62319,65,90000.0,20160929,1,0,0
148243,75,105000.0,20180704,0,0,0
84757,24,64000.0,20160229,0,0,0
42269,70,45000.0,20180507,1,0,0
111469,66,50000.0,20151001,1,0,0
67369,78,81000.0,20170815,0,0,0
129169,24,40000.0,20160129,1,0,0
74274,43,90000.0,20160423,0,0,0
80325,68,108000.0,20170421,0,0,0
124643,54,49000.0,20180111,1,0,0
93922,63,41000.0,20170618,1,0,0
28645,35,49000.0,20180128,1,0,0
56490,118,67800.0,20180101,0,0,1
142560,32,43000.0,20170531,0,0,0
85933,25,72000.0,20180609,1,0,0
134128,46,46000.0,20130918,1,0,0
124800,68,60000.0,20161229,1,0,0
63943,59,105000.0,20170819,0,0,0
