,offer_label
1,0
4,1
5,2
8,3
9,4
13,4
14,1
17,5
19,0
20,4
24,1
26,1
27,1
29,1
30,1
32,1
33,6
34,1
39,1
40,5
44,1
50,1
52,1
56,6
59,7
61,7
68,1
72,2
73,1
74,5
76,1
77,1
78,6
79,2
81,1
84,6
85,7
87,3
91,1
97,1
98,1
103,1
105,1
113,1
122,1
127,6
133,1
134,1
135,1
136,1
138,7
140,1
143,1
144,1
147,0
152,1
154,2
156,1
158,1
172,5
173,1
176,1
178,5
179,1
181,1
183,4
184,5
185,1
192,1
193,1
195,5
201,6
204,5
212,1
220,1
221,3
224,6
226,1
227,3
232,5
235,1
236,1
245,1
247,4
248,5
249,5
251,1
259,1
260,0
261,1
263,4
267,7
270,1
271,6
272,1
276,1
278,4
280,2
284,1
289,6
290,2
291,1
292,1
301,1
304,1
306,1
307,6
311,1
317,1
320,1
321,1
325,1
334,5
337,1
338,0
342,7
343,6
349,7
350,1
351,0
354,7
357,1
364,7
365,7
369,0
372,1
386,4
396,6
397,1
398,2
401,1
403,1
405,4
409,2
412,4
415,4
416,5
421,4
426,4
427,4
429,1
435,4
436,1
437,8
443,4
444,1
449,1
456,1
457,5
458,7
462,7
473,5
476,1
481,5
482,8
486,1
487,4
491,4
493,1
495,1
501,3
504,1
512,7
520,1
525,1
529,3
531,1
532,1
535,1
538,1
541,1
542,1
543,4
545,5
548,5
552,1
555,1
557,6
558,1
560,4
562,1
563,5
566,1
569,1
570,6
571,7
573,3
574,5
580,4
583,6
586,2
588,1
592,1
599,6
601,3
604,1
605,5
609,1
615,1
617,1
618,5
622,4
624,3
625,1
626,1
628,1
633,4
635,9
636,1
637,10
638,9
642,1
643,5
644,7
646,6
647,1
651,3
654,6
658,1
660,7
663,1
664,4
665,1
667,4
671,3
672,7
673,10
677,4
678,1
679,1
683,1
687,1
688,5
693,6
694,7
698,10
699,1
700,7
703,1
705,1
706,9
708,9
713,1
714,1
715,4
716,5
717,4
719,1
723,9
726,7
727,10
730,3
734,5
735,4
736,1
739,1
741,4
742,1
743,3
744,6
747,9
750,4
751,9
752,7
753,6
755,1
756,1
757,9
758,6
762,1
764,6
766,7
767,1
771,1
772,1
773,1
774,3
775,2
776,1
780,9
782,7
783,1
784,6
786,1
788,5
792,6
796,0
797,3
799,1
800,9
802,10
805,2
809,5
812,4
813,9
814,8
815,7
816,1
817,6
818,5
819,6
820,1
826,9
827,1
830,10
833,3
835,6
836,1
839,9
842,1
845,6
849,1
851,6
852,6
856,7
858,5
860,9
861,1
863,6
865,2
867,1
869,1
871,5
875,10
879,7
882,5
888,7
889,6
900,1
901,5
903,9
904,10
906,0
907,3
910,1
911,1
913,1
914,9
915,1
916,5
917,6
921,4
925,9
926,7
927,1
930,10
934,1
938,0
942,1
944,9
945,5
948,1
953,1
954,5
955,9
956,1
957,1
958,0
959,1
960,1
961,1
962,1
963,7
964,1
966,7
967,1
969,1
971,3
972,1
973,1
974,6
976,1
978,5
980,7
981,1
982,1
984,1
986,1
987,7
989,1
990,4
992,1
993,7
994,3
996,10
998,8
999,7
1002,9
1004,6
1005,1
1008,1
1010,9
1013,1
1014,7
1016,1
1017,1
1019,1
1022,10
1024,1
1026,5
1030,1
1032,1
1034,1
1035,1
1036,6
1037,1
1039,1
1042,1
1043,1
1044,4
1046,1
1048,3
1049,9
1051,1
1053,5
1058,7
1061,1
1062,10
1063,6
1066,1
1069,1
1070,4
1073,9
1076,5
1079,9
1083,1
1085,10
1086,1
1087,1
1088,7
1090,5
1094,1
1095,5
1100,5
1101,6
1102,5
1105,9
1106,1
1107,6
1108,7
1110,1
1111,9
1112,5
1115,1
1120,1
1122,9
1124,1
1126,4
1127,7
1130,1
1134,7
1136,1
1137,1
1140,1
1141,1
1147,1
1150,5
1151,2
1152,1
1153,5
1156,9
1159,1
1161,1
1162,3
1165,9
1168,5
1170,7
1173,6
1174,1
1176,4
1181,5
1183,3
1184,1
1185,9
1188,1
1192,1
1193,10
1195,1
1196,4
1199,1
1201,4
1202,0
1204,4
1206,9
1207,1
1209,1
1210,6
1211,1
1212,10
1213,3
1216,5
1217,2
1220,7
1224,7
1225,7
1226,1
1227,9
1228,7
1229,1
1230,4
1231,8
1233,5
1234,5
1235,1
1240,9
1241,10
1243,5
1244,1
1245,6
1250,1
1251,1
1253,1
1257,10
1259,1
1262,7
1263,1
1266,1
1270,9
1271,6
1273,5
1274,10
1277,1
1281,2
1282,7
1283,7
1284,7
1288,7
1289,6
1293,1
1294,6
1295,7
1297,1
1298,1
1299,5
1300,1
1301,7
1302,3
1306,3
1307,4
1308,6
1309,3
1311,1
1312,1
1313,9
1315,9
1316,4
1318,0
1321,6
1323,3
1326,9
1327,7
1329,4
1332,1
1333,3
1336,5
1342,1
1343,6
1345,9
1346,0
1348,5
1349,1
1354,6
1357,1
1359,6
1360,9
1361,1
1362,1
1364,3
1370,5
1371,1
1372,4
1373,1
1374,9
1375,1
1377,1
1378,1
1379,1
1381,9
1384,6
1385,1
1387,7
1389,5
1392,6
1393,3
1394,10
1396,1
1397,0
1398,5
1400,1
1402,6
1406,1
1411,3
1412,7
1413,1
1419,1
1423,1
1427,7
1428,0
1429,1
1430,1
1435,10
1436,1
1437,3
1438,1
1441,3
1442,0
1443,1
1444,1
1446,5
1450,5
1452,6
1455,2
1461,10
1465,1
1466,1
1470,1
1472,9
1474,1
1476,1
1479,3
1480,5
1481,4
1482,1
1484,1
1485,6
1486,2
1488,1
1490,0
1492,9
1493,1
1494,0
1496,6
1497,1
1501,1
1502,3
1506,6
1507,5
1510,4
1511,1
1512,6
1514,7
1515,1
1517,5
1520,1
1521,6
1524,1
1525,10
1528,7
1529,6
1531,2
1534,7
1539,9
