,offer_label
84113,1
66529,10
4824,2
137174,10
2484,4
58403,9
107268,9
116653,1
116370,9
132007,1
69431,10
115684,1
56426,1
31107,9
67621,6
118672,1
108547,9
127166,1
105392,1
1202,0
83787,0
28279,9
38541,6
1134,7
71511,9
77862,9
118418,9
106221,1
126873,1
141687,1
586,2
100871,1
142896,9
140595,9
109781,7
74992,1
116868,7
30409,9
28027,9
59466,10
29074,1
113385,6
60207,9
125126,9
65860,7
77015,1
71014,4
145670,10
122672,1
69633,6
99384,4
284,1
31304,9
52514,9
129034,10
40665,1
44258,1
82758,1
77948,9
129182,1
76189,1
19088,4
124658,5
13485,9
89967,1
111026,1
105611,9
127265,10
2938,9
106762,3
5284,10
106423,9
149665,9
110176,1
4625,10
73275,1
110891,10
62319,10
148243,1
84757,9
42269,10
111469,1
67369,4
129169,9
74274,9
80325,8
124643,9
93922,3
28645,6
56490,10
142560,1
85933,9
134128,1
124800,10
63943,1
127952,10
136945,1
96560,1
104065,3
100530,1
28961,1
128940,1
38829,1
45739,9
83495,9
69500,9
19107,10
41634,10
24289,9
77799,9
119372,1
100988,4
4128,0
56925,2
41209,1
146918,1
45956,1
23617,1
62862,1
33202,9
43120,2
73493,9
7015,3
34121,9
39347,6
136605,9
98750,4
108181,6
30561,9
80599,6
43328,9
122261,4
23923,8
151489,10
40216,10
50894,9
118321,10
59081,1
121547,1
133079,1
111142,10
82484,9
12400,1
142654,1
128033,1
102181,10
40850,1
61813,9
10535,9
2882,1
140859,1
70828,5
87313,9
148147,1
115383,8
113752,1
122933,9
119221,9
88506,9
116130,10
147968,1
104396,7
117800,9
144699,1
5193,8
68662,1
98593,10
74953,9
28141,9
6243,4
145081,10
2624,1
105848,9
127076,0
105432,0
17202,0
115693,10
148911,9
93048,4
32940,9
60105,10
120077,9
18255,6
5462,10
123497,8
149318,10
107838,9
128925,0
90182,3
82153,9
26460,1
72561,6
117557,9
65658,1
147565,0
91635,9
99897,9
77516,10
121314,2
47058,9
102501,10
61818,4
150228,9
12937,7
123950,1
112609,1
118414,0
110193,1
65668,1
107202,1
118854,4
109121,8
53694,2
121926,10
132038,10
83212,6
1792,2
130289,2
150581,1
147484,9
136582,5
136144,9
80155,3
62394,1
126741,1
94165,9
104927,1
144884,5
108701,9
90541,10
45008,1
108766,10
78460,10
140632,9
135773,1
60652,4
119032,10
92229,9
60443,1
8463,7
125335,7
101231,1
103459,9
71225,6
149934,9
65597,1
83400,9
66165,10
129907,1
98795,1
120509,10
128567,1
109357,9
49000,4
112333,10
69468,2
45855,10
137759,9
56471,1
143240,1
148034,1
88846,2
110477,10
88666,5
61302,1
27352,9
131952,10
119365,0
101030,0
61008,10
126969,9
87554,9
112435,4
135045,1
31400,1
40835,0
131204,6
137320,10
85273,6
109732,1
8683,2
115782,10
39354,9
146035,1
143417,1
146427,9
143915,8
56495,4
23736,10
72109,1
79739,10
111440,10
114434,7
52143,9
134055,9
67053,7
63516,7
111306,1
42658,6
85637,1
30014,6
95220,10
95980,1
75617,1
86176,1
100864,1
77728,10
112217,10
77660,4
28498,1
107206,10
95596,10
81934,10
28102,6
67071,1
149440,10
134002,9
89487,3
144321,7
87382,9
57419,9
64294,1
142908,7
149575,10
27929,10
50204,9
92715,1
34423,9
49691,9
113293,1
130585,1
8434,1
36226,1
147020,10
78798,1
145364,1
88027,10
99500,1
110826,6
28114,1
138345,10
143051,1
97024,0
136773,10
131303,1
83920,5
50626,10
138594,9
120573,1
123948,10
148994,1
58509,1
107820,1
36276,1
91226,9
83790,10
113826,1
101549,10
94364,1
76738,1
124469,9
72213,1
30488,0
113768,5
74854,10
141070,4
127509,9
58212,10
55112,10
118155,10
114382,4
97588,0
94158,9
123977,8
100608,9
106129,5
69677,1
147950,8
33846,10
82808,10
97220,1
53160,1
145861,10
40816,9
114253,1
107254,6
79688,10
112233,7
129415,10
73309,1
92419,4
66849,1
126012,1
74878,6
110976,1
142655,9
93711,6
135623,6
63108,7
74783,7
80021,10
54974,9
117611,1
78060,5
84,6
92732,9
150612,1
132283,3
117830,1
11082,9
139798,10
99100,5
42632,10
80033,8
127350,1
77155,6
149511,1
75610,9
116434,1
104672,10
114457,9
46749,10
129401,7
69739,10
67521,9
122494,1
11805,2
68411,10
78482,9
93663,1
26294,9
116836,1
27899,1
59810,5
4541,9
120516,9
49331,9
85326,9
122487,10
107267,1
62539,9
112247,1
80528,1
126693,7
60176,1
82617,10
62844,1
105738,10
145937,10
91530,1
116988,1
64976,7
32946,0
33859,1
73281,1
29262,1
82901,5
83246,1
97902,10
21748,9
102388,1
96436,9
119012,1
21744,6
3589,9
125845,4
21690,0
62382,9
147604,9
44302,1
99136,1
113058,2
86642,1
7023,9
113886,1
105252,2
110609,9
61240,1
104061,9
98099,9
86934,10
76516,9
117662,1
80481,1
3370,1
94383,5
109836,1
116874,1
111547,6
114612,0
67083,5
27926,5
88266,9
150400,1
126744,10
142197,7
136494,10
37238,9
120703,6
63221,9
66538,9
88553,1
69198,9
130137,9
147664,10
62479,10
105171,1
79035,4
124628,1
74265,10
32526,1
104415,2
108241,10
131367,9
76791,9
127410,1
53206,9
69147,10
71333,9
39264,9
63399,6
75312,9
29571,6
107672,6
57966,1
9876,10
122817,1
66722,1
61508,7
47111,9
113202,1
61729,9
111156,10
131856,1
31782,9
75482,6
110982,1
142114,9
74351,10
112039,9
60703,1
147319,1
108567,3
119228,9
150182,10
88448,9
45538,7
127129,1
128260,7
27668,7
49553,10
84681,10
96857,1
96451,10
53832,9
119662,1
99404,5
115197,1
1947,9
50360,10
128182,10
144471,7
46938,10
121021,1
103378,6
14075,10
32652,8
71085,9
115385,0
129988,10
11224,8
81110,5
127412,4
103064,10
86806,9
44041,9
124072,4
27417,1
40573,4
105431,3
139294,1
111038,9
144426,9
118707,2
144279,8
2010,7
111084,1
126182,1
92434,0
20265,10
120255,9
136549,9
118453,10
138157,10
99623,1
110717,9
75357,9
72629,10
118437,10
111556,5
98745,9
44483,2
102408,9
103940,10
140686,9
26311,1
116562,1
143361,1
76666,9
131405,1
119275,10
101180,10
114018,9
4072,5
57618,1
102763,9
47795,4
78019,1
121474,1
62032,1
113119,1
78748,1
99829,1
57530,10
23281,1
145269,9
114002,1
135253,9
58410,1
138255,10
62031,10
57239,9
4748,3
26216,5
82655,6
59351,1
133702,10
118951,1
3683,1
77467,9
56652,7
84762,10
126439,1
128253,1
81967,1
127379,1
72327,6
92820,10
73690,1
73791,6
8891,9
5433,10
115180,3
119311,9
122412,1
5097,9
61322,6
40377,1
101469,6
5052,5
128875,0
58803,1
119993,9
43742,9
128597,9
81090,10
80779,6
132944,10
43402,9
66719,9
58408,3
80380,3
139111,9
102403,1
126258,10
112807,7
124466,1
80279,10
58602,9
133186,1
27020,10
106896,9
28445,5
76364,4
97459,1
144935,9
4963,1
74674,9
66360,7
137087,5
69506,9
128178,1
135641,10
36990,5
129937,1
146886,1
78242,9
16241,5
100225,1
56580,9
58818,3
51959,10
